Year,Individual Men,Individual Women,Team
2007,James Fitzgerald,Jolie Gentry,CrossFit Santa Cruz
2008,Jason Khalipa,Caity Matter,CrossFit Oakland
2009,Mikko Salo,Tanya Wagner,Northwest CrossFit
2010,Graham Holmberg,Kristan Clever,CrossFit Fort Vancouver
2011,Rich Froning Jr.,Annie Thorisdottir,CrossFit New England
2012,Rich Froning Jr.,Annie Thorisdottir,Hack's Pack UTE
2013,Rich Froning Jr.,Samantha Briggs,Hack's Pack UTE
2014,Rich Froning Jr.,Camille Leblanc-Bazinet,CrossFit Invictus
2015,Ben Smith,Katrín Tanja Davíðsdóttir,CrossFit Mayhem Freedom
2016,Mathew Fraser,Katrín Tanja Davíðsdóttir,CrossFit Mayhem Freedom
2017,Mathew Fraser,Tia-Clair Toomey,Wasatch CrossFit
2018,Mathew Fraser,Tia-Clair Toomey,CrossFit Mayhem Freedom
2019,Mathew Fraser,Tia-Clair Toomey,CrossFit Mayhem Freedom
2020,Mathew Fraser,Tia-Clair Toomey,No team events held
2021,Justin Medeiros,Tia-Clair Toomey,CrossFit Mayhem
