Year,35–39,40–44,45–49,50–54,55–59,60–64,65+
2010,—,—,—,Brian Curley,Brian Curley,Brian Curley,Brian Curley
2011,—,—,Scott DeTore,Gord MacKinnon,Steve Anderson,Greg Walker,Greg Walker
2012,—,—,Gene LaMonica,Gord MacKinnon,Tim Anderson,Scott Olson,Scott Olson
2013,—,Michael Moseley,Ron Ortiz,Craig Howard,Hilmar Hardarson,Scott Olson,Scott Olson
2014,—,Shawn Ramirez,Jerry Hill,Will Powell,Steve Hamming,Scott Olson,Scott Olson
2015,—,Shawn Ramirez,Matthew Swift,Joe Ames,Will Powell,Steve Pollini,Steve Pollini
2016,—,Shawn Ramirez,Ron Mathews,Ron Ortiz,Will Powell,David Hippensteel,David Hippensteel
2017,Kyle Kasperbauer,Shawn Ramirez,Robert Davis,Kevin Koester,Shannon Aiken,David Hippensteel,David Hippensteel
2018,Kyle Kasperbauer,Neal Maddox,Robert Davis,Cliff Musgrave,Brig Edwards,David Hippensteel,David Hippensteel
2019,Nick Urankar,Jason Grubb,Joel Hughes,Kevin Koester,Joe Ames,Gord MacKinnon[a],Gord MacKinnon[a]
2020,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic
2021,Kyle Kasperbauer,Maxime Guyon,Jason Grubb,Bernard Luzi,Vincent Diephuis,Will Powell,Ken Ogden
