Year,35–39,40–44,45–49,50–54,55–59,60–64,65+
2010,—,—,—,Laurie Carver,Laurie Carver,Laurie Carver,Laurie Carver
2011,—,—,Susan Habbe,Mary Beth Litsheim,Shelley Noyce,Betsy Finley,Betsy Finley
2012,—,—,Lisa Mikkelsen,Susan Habbe,Marnel King,Mary Schwing,Mary Schwing
2013,—,Amanda Allen,Lisa Mikkelsen,Colleen Fahey,Gabriele Schlicht,Sharon Lapkoff,Sharon Lapkoff
2014,—,Amanda Allen,Kim Holway,Mary Beth Litsheim,Susan Clarke,Karen Wattier,Karen Wattier
2015,—,Janet Black,Kylie Massi,Cindy Kelley,Susan Clarke,Rosalie Glenn,Rosalie Glenn
2016,—,Helen Harding,Cheryl Brost,Shellie Edington,Mary Beth Prodromides(née Litsheim),Shaun Havard,Shaun Havard
2017,Stephanie Roy,Helen Harding,Cheryl Brost,Marion Valkenburg[b],Susan Clarke,Patty Failla,Patty Failla
2018,Anna Tobias,Stephanie Roy,Amanda Allen,Eva Thornton,Mary Beth Prodromides,Shaun Havard,Shaun Havard
2019,Anna Tobias,Joey Kimdon,Janet Black,Jana Slyder,Laurie Meschishnick,Susan Clarke,Susan Clarke
2020,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic,No Masters events due to COVID-19 pandemic
2021,Whitney Gelin,Kelly Friel,Annie Sakamoto,Tia Vesser,Laurie Meschishnick,Susan Clarke,Patty Bauer
